region_key,region_division,region_city,region_msa
471,ANTIOQUIA,MURINDO,OPOGADO
472,ANTIOQUIA,MURINDO,SAN ALEJANDRO
473,ANTIOQUIA,MURINDO,GUADUALITO
474,ANTIOQUIA,MURINDO,JEDEGA
475,ANTIOQUIA,MURINDO,TADIA
476,ANTIOQUIA,MUTATA,MUTATA
477,ANTIOQUIA,MUTATA,BEJUQUILLO
478,ANTIOQUIA,MUTATA,PAVARANDOCITO
479,ANTIOQUIA,MUTATA,VILLA ARTEAGA
480,ANTIOQUIA,MUTATA,PAVARANDO GRANDE
481,ANTIOQUIA,MUTATA,BAJIRA
482,ANTIOQUIA,MUTATA,CAUCHERAS
483,ANTIOQUIA,NARIÑO,NARIÑO
