inst_key,inst_name,inst_country,inst_type,inst_category
194,FIDUCOLDEX S.A.,COLOMBIA,PRIVADO,SOCIEDADES FIDUCIARIAS
195,FIDUCOOMEVA,COLOMBIA,PRIVADO,SOCIEDADES FIDUCIARIAS
196,FIDUOCCIDENTE S.A.,COLOMBIA,PRIVADO,SOCIEDADES FIDUCIARIAS
197,GESTION FIDUCIARIA S.A.,COLOMBIA,PRIVADO,SOCIEDADES FIDUCIARIAS
198,ITAU FIDUCIARIA,COLOMBIA,PRIVADO,SOCIEDADES FIDUCIARIAS
199,ITAU SECURITIES SERVICES,COLOMBIA,PRIVADO,SOCIEDADES FIDUCIARIAS
200,OLD MUTUAL SOCIEDAD FIDUCIARIA S.A.,COLOMBIA,PRIVADO,SOCIEDADES FIDUCIARIAS
201,PREVISORA S.A.,COLOMBIA,PRIVADO,SOCIEDADES FIDUCIARIAS
202,RENTA 4 & GLOBAL FIDUCIARIA S.A.,COLOMBIA,PRIVADO,SOCIEDADES FIDUCIARIAS
203,SANTANDER SECURITIES SERVICES,COLOMBIA,PRIVADO,SOCIEDADES FIDUCIARIAS
204,SERVITRUST GNB SUDAMERIS S.A.,COLOMBIA,PRIVADO,SOCIEDADES FIDUCIARIAS
