type_from,type_to,inst_from,inst_to,inst_key
COMPANIAS DE SEGUROS GENERALES,COMPANIAS DE SEGUROS GENERALES,"BBVA SEGUROS COLOMBIA  S,A,",BBVA SEGUROS COLOMBIA  S.A.,59
COMPANIAS DE SEGUROS GENERALES,COMPANIAS DE SEGUROS GENERALES,BBVA SEGUROS COLOMBIA  S.A.,BBVA SEGUROS COLOMBIA  S.A.,59
COMPANIAS DE SEGUROS GENERALES,COMPANIAS DE SEGUROS GENERALES,BERKLEY INTERN SEGUROS COLOMBIA SA,BERKLEY INTERN SEGUROS COLOMBIA SA,60
COMPANIAS DE SEGUROS GENERALES,COMPANIAS DE SEGUROS GENERALES,"BOLIVAR S,A,",BOLIVAR S.A.,61
COMPANIAS DE SEGUROS GENERALES,COMPANIAS DE SEGUROS GENERALES,BOLIVAR S.A.,BOLIVAR S.A.,61
COMPANIAS DE SEGUROS GENERALES,COMPANIAS DE SEGUROS GENERALES,CARDIF  COLOMBIA SEG GENERALES SA,CARDIF  COLOMBIA SEG GENERALES SA,62
COMPANIAS DE SEGUROS GENERALES,COMPANIAS DE SEGUROS GENERALES,CHUBB DE COLOMBIA,CHUBB DE COLOMBIA,63
COMPANIAS DE SEGUROS GENERALES,COMPANIAS DE SEGUROS GENERALES,COFACE COLOMBIA SEGUROS DE CREDITO,COFACE COLOMBIA SEGUROS DE CREDITO,64
COMPANIAS DE SEGUROS GENERALES,COMPANIAS DE SEGUROS GENERALES,CONFIANZA,CONFIANZA,65
COMPANIAS DE SEGUROS GENERALES,COMPANIAS DE SEGUROS GENERALES,"ESTADO S,A,",ESTADO S.A.,66
COMPANIAS DE SEGUROS GENERALES,COMPANIAS DE SEGUROS GENERALES,ESTADO S.A.,ESTADO S.A.,66
COMPANIAS DE SEGUROS GENERALES,COMPANIAS DE SEGUROS GENERALES,"HDI SEGUROS S,A,",HDI SEGUROS S.A.,67
COMPANIAS DE SEGUROS GENERALES,COMPANIAS DE SEGUROS GENERALES,HDI SEGUROS S.A.,HDI SEGUROS S.A.,67
COMPANIAS DE SEGUROS GENERALES,COMPANIAS DE SEGUROS GENERALES,"JMALUCELLITRAVELERS SEGUROS S,A,",JMALUCELLITRAVELERS SEGUROS S.A.,68
COMPANIAS DE SEGUROS GENERALES,COMPANIAS DE SEGUROS GENERALES,JMALUCELLITRAVELERS SEGUROS S.A.,JMALUCELLITRAVELERS SEGUROS S.A.,68
COMPANIAS DE SEGUROS GENERALES,COMPANIAS DE SEGUROS GENERALES,"LIBERTY SEGUROS S,A,",LIBERTY SEGUROS S.A.,69
COMPANIAS DE SEGUROS GENERALES,COMPANIAS DE SEGUROS GENERALES,LIBERTY SEGUROS S.A.,LIBERTY SEGUROS S.A.,69
COMPANIAS DE SEGUROS GENERALES,COMPANIAS DE SEGUROS GENERALES,MAPFRE,MAPFRE,70
COMPANIAS DE SEGUROS GENERALES,COMPANIAS DE SEGUROS GENERALES,MUNDIAL,MUNDIAL,71
COMPANIAS DE SEGUROS GENERALES,COMPANIAS DE SEGUROS GENERALES,Nacional de Seguros,Nacional de Seguros,72
COMPANIAS DE SEGUROS GENERALES,COMPANIAS DE SEGUROS GENERALES,PREVISORA,PREVISORA,73
COMPANIAS DE SEGUROS GENERALES,COMPANIAS DE SEGUROS GENERALES,"SBS SEGUROS COLOMBIA S,A",SBS SEGUROS COLOMBIA S.A,74
COMPANIAS DE SEGUROS GENERALES,COMPANIAS DE SEGUROS GENERALES,SBS SEGUROS COLOMBIA S.A,SBS SEGUROS COLOMBIA S.A,74
COMPANIAS DE SEGUROS GENERALES,COMPANIAS DE SEGUROS GENERALES,"SEGUREXPO DE COLOMBIA S,A,",SEGUREXPO DE COLOMBIA S.A.,75
COMPANIAS DE SEGUROS GENERALES,COMPANIAS DE SEGUROS GENERALES,SEGUREXPO DE COLOMBIA S.A.,SEGUREXPO DE COLOMBIA S.A.,75
COMPANIAS DE SEGUROS GENERALES,COMPANIAS DE SEGUROS GENERALES,"SOL, COLOMBIA SEG, DE CREDITO S,A,",SOL. COLOMBIA SEG. DE CREDITO S.A.,76
COMPANIAS DE SEGUROS GENERALES,COMPANIAS DE SEGUROS GENERALES,SOL. COLOMBIA SEG. DE CREDITO S.A.,SOL. COLOMBIA SEG. DE CREDITO S.A.,76
COMPANIAS DE SEGUROS GENERALES,COMPANIAS DE SEGUROS GENERALES,"SURAMERICANA S,A,",SURAMERICANA S.A.,77
COMPANIAS DE SEGUROS GENERALES,COMPANIAS DE SEGUROS GENERALES,SURAMERICANA S.A.,SURAMERICANA S.A.,77
COMPANIAS DE SEGUROS GENERALES,COMPANIAS DE SEGUROS GENERALES,"ZURICH COLOMBIA SEGUROS S,A,",ZURICH COLOMBIA SEGUROS S.A.,78
COMPANIAS DE SEGUROS GENERALES,COMPANIAS DE SEGUROS GENERALES,ZURICH COLOMBIA SEGUROS S.A.,ZURICH COLOMBIA SEGUROS S.A.,78
COOPERATIVAS CARACTER FINANCIERO,COOPERATIVAS CARACTER FINANCIERO,CONFIAR COOPERATIVA FINANCIERA,CONFIAR COOPERATIVA FINANCIERA,79
COOPERATIVAS CARACTER FINANCIERO,COOPERATIVAS CARACTER FINANCIERO,COOP FINANC EMPRESAS PUBL COOFINEP,COOP FINANC EMPRESAS PUBL COOFINEP,80
COOPERATIVAS CARACTER FINANCIERO,COOPERATIVAS CARACTER FINANCIERO,COOPERATIVA FINANCIERA DE ANTIOQUIA,COOPERATIVA FINANCIERA DE ANTIOQUIA,81
COOPERATIVAS CARACTER FINANCIERO,COOPERATIVAS CARACTER FINANCIERO,COOPKENNEDY,COOPKENNEDY,82
COOPERATIVAS CARACTER FINANCIERO,COOPERATIVAS CARACTER FINANCIERO,COTRAFA COOPERATIVA FINANCIERA,COTRAFA COOPERATIVA FINANCIERA,83
CORPORACIONES FINA11NCIERAS,CORPORACIONES FINANCIERAS,"BANCA DE INVERSION BANCOLOMBIA S,A,",BANCA DE INVERSION BANCOLOMBIA S.A.,84
CORPORACIONES FINA11NCIERAS,CORPORACIONES FINANCIERAS,BANCA DE INVERSION BANCOLOMBIA S.A.,BANCA DE INVERSION BANCOLOMBIA S.A.,84
